date,time,temp,humid,windspd
18/1/2010,5,23.00,51.50,5.60
18/1/2010,6,21.00,60.33,4.93
18/1/2010,7,23.00,57.00,5.60
18/1/2010,8,23.00,69.00,7.40
18/1/2010,9,23.50,71.50,8.35
18/1/2010,10,25.50,63.00,11.10
18/1/2010,11,26.50,48.00,12.05
18/1/2010,12,28.33,38.67,8.67
18/1/2010,13,29.50,37.50,9.30
18/1/2010,14,31.00,35.50,9.30
18/1/2010,15,29.67,47.33,14.83
18/1/2010,16,29.00,51.00,19.45
18/1/2010,17,28.50,54.50,17.60
18/1/2010,18,27.67,51.67,15.43
18/1/2010,19,27.00,58.00,16.70
18/1/2010,20,26.00,55.50,10.20
18/1/2010,21,26.33,49.00,11.73
18/1/2010,22,26.00,52.50,11.10
18/1/2010,23,26.00,51.00,7.40
18/1/2010,24,24.00,58.67,1.87
19/1/2010,1,25.00,55.50,2.80
19/1/2010,2,24.00,61.00,5.60
19/1/2010,3,22.67,67.00,1.87
19/1/2010,4,23.50,63.00,5.60
19/1/2010,5,23.00,69.00,0.00
19/1/2010,6,21.67,69.67,6.17
19/1/2010,7,22.50,65.00,2.80
19/1/2010,8,23.00,61.00,5.60
19/1/2010,9,22.33,65.67,6.80
19/1/2010,10,25.50,52.50,13.90
19/1/2010,11,27.00,45.00,14.80
19/1/2010,12,29.00,38.00,14.80
19/1/2010,13,30.50,36.00,15.75
19/1/2010,14,31.50,34.00,13.00
19/1/2010,15,33.00,25.00,5.60
19/1/2010,16,33.00,28.00,7.45
19/1/2010,17,32.00,33.00,15.75
19/1/2010,18,30.33,34.00,11.13
19/1/2010,19,28.50,52.50,13.00
19/1/2010,20,29.00,48.00,13.00
19/1/2010,21,27.67,44.00,8.67
19/1/2010,22,27.50,45.00,10.20
19/1/2010,23,27.00,45.00,6.50
19/1/2010,24,26.33,44.33,4.33
20/1/2010,1,27.00,42.00,5.60
20/1/2010,2,25.50,48.50,6.50
20/1/2010,3,22.67,56.67,4.97
20/1/2010,4,24.50,48.50,8.35
20/1/2010,5,24.50,48.50,5.60
20/1/2010,6,22.67,54.00,6.17
20/1/2010,7,24.00,50.00,5.60
20/1/2010,8,24.50,48.50,5.60
20/1/2010,9,24.33,45.00,4.97
20/1/2010,10,27.00,39.00,11.10
20/1/2010,11,28.00,37.00,13.00
20/1/2010,12,29.33,30.67,11.73
20/1/2010,13,31.50,30.00,13.90
20/1/2010,14,32.50,27.50,12.05
20/1/2010,15,33.00,22.50,2.80
20/1/2010,16,32.50,28.50,8.35
20/1/2010,17,32.00,31.00,15.75
20/1/2010,18,31.00,30.00,11.13
